2022-09-01 06:28:07,542 INFO    MainThread:326774 [wandb_setup.py:_flush():76] Configure stats pid to 326774
2022-09-01 06:28:07,543 INFO    MainThread:326774 [wandb_setup.py:_flush():76] Loading settings from /home/anthonypark6904/.config/wandb/settings
2022-09-01 06:28:07,543 INFO    MainThread:326774 [wandb_setup.py:_flush():76] Loading settings from /home/anthonypark6904/module/wandb/settings
2022-09-01 06:28:07,543 INFO    MainThread:326774 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'_require_service': 'True'}
2022-09-01 06:28:07,543 INFO    MainThread:326774 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'SampleCNN_main.py', 'program': 'SampleCNN_main.py'}
2022-09-01 06:28:07,543 INFO    MainThread:326774 [wandb_init.py:_log_setup():461] Logging user logs to /home/anthonypark6904/module/wandb/run-20220901_062807-1r5zv8jj/logs/debug.log
2022-09-01 06:28:07,543 INFO    MainThread:326774 [wandb_init.py:_log_setup():462] Logging internal logs to /home/anthonypark6904/module/wandb/run-20220901_062807-1r5zv8jj/logs/debug-internal.log
2022-09-01 06:28:07,543 INFO    MainThread:326774 [wandb_init.py:init():495] calling init triggers
2022-09-01 06:28:07,543 INFO    MainThread:326774 [wandb_init.py:init():498] wandb.init called with sweep_config: {}
config: {}
2022-09-01 06:28:07,543 INFO    MainThread:326774 [wandb_init.py:init():548] starting backend
2022-09-01 06:28:07,543 INFO    MainThread:326774 [wandb_init.py:init():552] setting up manager
2022-09-01 06:28:07,546 INFO    MainThread:326774 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-09-01 06:28:07,549 INFO    MainThread:326774 [wandb_init.py:init():558] backend started and connected
2022-09-01 06:28:07,553 INFO    MainThread:326774 [wandb_init.py:init():636] updated telemetry
2022-09-01 06:28:07,571 INFO    MainThread:326774 [wandb_init.py:init():667] communicating run to backend with 30 second timeout
2022-09-01 06:28:07,874 INFO    MainThread:326774 [wandb_run.py:_on_init():1982] communicating current version
2022-09-01 06:28:07,909 INFO    MainThread:326774 [wandb_run.py:_on_init():1986] got version response 
2022-09-01 06:28:07,909 INFO    MainThread:326774 [wandb_init.py:init():700] starting run threads in backend
2022-09-01 06:28:07,951 INFO    MainThread:326774 [wandb_run.py:_console_start():1962] atexit reg
2022-09-01 06:28:07,952 INFO    MainThread:326774 [wandb_run.py:_redirect():1820] redirect: SettingsConsole.WRAP_RAW
2022-09-01 06:28:07,952 INFO    MainThread:326774 [wandb_run.py:_redirect():1885] Wrapping output streams.
2022-09-01 06:28:07,952 INFO    MainThread:326774 [wandb_run.py:_redirect():1907] Redirects installed.
2022-09-01 06:28:07,952 INFO    MainThread:326774 [wandb_init.py:init():732] run started, returning control to user process
2022-09-01 06:50:57,181 WARNING MsgRouterThr:326774 [router.py:message_loop():76] message_loop has been closed
