2022-09-04 08:14:56,939 INFO    MainThread:424780 [wandb_setup.py:_flush():76] Configure stats pid to 424780
2022-09-04 08:14:56,940 INFO    MainThread:424780 [wandb_setup.py:_flush():76] Loading settings from /home/anthonypark6904/.config/wandb/settings
2022-09-04 08:14:56,940 INFO    MainThread:424780 [wandb_setup.py:_flush():76] Loading settings from /home/anthonypark6904/module/wandb/settings
2022-09-04 08:14:56,940 INFO    MainThread:424780 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'_require_service': 'True'}
2022-09-04 08:14:56,940 INFO    MainThread:424780 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': 'main.py'}
2022-09-04 08:14:56,940 INFO    MainThread:424780 [wandb_init.py:_log_setup():461] Logging user logs to /home/anthonypark6904/module/wandb/run-20220904_081456-fk5s0lj8/logs/debug.log
2022-09-04 08:14:56,940 INFO    MainThread:424780 [wandb_init.py:_log_setup():462] Logging internal logs to /home/anthonypark6904/module/wandb/run-20220904_081456-fk5s0lj8/logs/debug-internal.log
2022-09-04 08:14:56,940 INFO    MainThread:424780 [wandb_init.py:init():495] calling init triggers
2022-09-04 08:14:56,940 INFO    MainThread:424780 [wandb_init.py:init():498] wandb.init called with sweep_config: {}
config: {}
2022-09-04 08:14:56,940 INFO    MainThread:424780 [wandb_init.py:init():548] starting backend
2022-09-04 08:14:56,940 INFO    MainThread:424780 [wandb_init.py:init():552] setting up manager
2022-09-04 08:14:56,943 INFO    MainThread:424780 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-09-04 08:14:56,946 INFO    MainThread:424780 [wandb_init.py:init():558] backend started and connected
2022-09-04 08:14:56,951 INFO    MainThread:424780 [wandb_init.py:init():636] updated telemetry
2022-09-04 08:14:57,038 INFO    MainThread:424780 [wandb_init.py:init():667] communicating run to backend with 30 second timeout
2022-09-04 08:14:57,326 INFO    MainThread:424780 [wandb_run.py:_on_init():1982] communicating current version
2022-09-04 08:14:57,361 INFO    MainThread:424780 [wandb_run.py:_on_init():1986] got version response 
2022-09-04 08:14:57,361 INFO    MainThread:424780 [wandb_init.py:init():700] starting run threads in backend
2022-09-04 08:14:57,425 INFO    MainThread:424780 [wandb_run.py:_console_start():1962] atexit reg
2022-09-04 08:14:57,425 INFO    MainThread:424780 [wandb_run.py:_redirect():1820] redirect: SettingsConsole.WRAP_RAW
2022-09-04 08:14:57,425 INFO    MainThread:424780 [wandb_run.py:_redirect():1885] Wrapping output streams.
2022-09-04 08:14:57,425 INFO    MainThread:424780 [wandb_run.py:_redirect():1907] Redirects installed.
2022-09-04 08:14:57,426 INFO    MainThread:424780 [wandb_init.py:init():732] run started, returning control to user process
2022-09-04 08:35:07,913 WARNING MsgRouterThr:424780 [router.py:message_loop():76] message_loop has been closed
